family,tip_label,image_dir,tree_species,fishbase_query,fishbase_resolved,note
hypsigenyinae,Semicossyphus_darwiniF401,Semicossyphus_darwini,Semicossyphus_darwini,Semicossyphus darwini,,
hypsigenyinae,Semicossyphus_pulcherF134,Semicossyphus_pulcher,Semicossyphus_pulcher,Semicossyphus pulcher,,
hypsigenyinae,Bodianus_bimaculatusF406,Bodianus_bimaculatus,Bodianus_bimaculatus,Bodianus bimaculatus,,
hypsigenyinae,Bodianus_izuensisF410,Bodianus_izuensis,Bodianus_izuensis,Bodianus izuensis,,
hypsigenyinae,Bodianus_flavipinnisF342,Bodianus_flavipinnis,Bodianus_flavipinnis,Bodianus flavipinnis,,
hypsigenyinae,Bodianus_frenchiiF167,Bodianus_frenchii,Bodianus_frenchii,Bodianus frenchii,,
hypsigenyinae,Choerodon_anchorago_F114,Choerodon_anchorago,Choerodon_anchorago,Choerodon anchorago,,
hypsigenyinae,Choerodon_cephalotesF115,Choerodon_cephalotes,Choerodon_cephalotes,Choerodon cephalotes,,
hypsigenyinae,Choerodon_rubescensF345,Choerodon_rubescens,Choerodon_rubescens,Choerodon rubescens,,
hypsigenyinae,Choerodon_schoenleiniiF118,Choerodon_schoenleinii,Choerodon_schoenleinii,Choerodon schoenleinii,,
hypsigenyinae,Choerodon_graphicusF200,Choerodon_graphicus,Choerodon_graphicus,Choerodon graphicus,,
hypsigenyinae,Choerodon_cyanodusF244,Choerodon_cyanodus,Choerodon_cyanodus,Choerodon cyanodus,,
hypsigenyinae,Choerodon_oligacanthusF344,Choerodon_oligacanthus,Choerodon_oligacanthus,Choerodon oligacanthus,,
hypsigenyinae,Choerodon_fasciatusF116,Choerodon_fasciatus,Choerodon_fasciatus,Choerodon fasciatus,,
hypsigenyinae,Choerodon_vittaF221,Choerodon_vitta,Choerodon_vitta,Choerodon vitta,,
hypsigenyinae,Choerodon_azurioF416,Choerodon_azurio,Choerodon_azurio,Choerodon azurio,,
hypsigenyinae,Choerodon_zamboangaeF328,Choerodon_zamboangae,Choerodon_zamboangae,Choerodon zamboangae,,
hypsigenyinae,Choerodon_frenatusF396,Choerodon_frenatus,Choerodon_frenatus,Choerodon frenatus,,
hypsigenyinae,Choerodon_jordaniF117,Choerodon_jordani,Choerodon_jordani,Choerodon jordani,,
hypsigenyinae,Choerodon_zosterophorusF417,Choerodon_zosterophorus,Choerodon_zosterophorus,Choerodon zosterophorus,,
hypsigenyinae,Choerodon_sugillatumF119,Choerodon_sugillatum,Choerodon_sugillatum,Choerodon sugillatum,,
hypsigenyinae,Lachnolaimus_maximus_F127,Lachnolaimus_maximus,Lachnolaimus_maximus,Lachnolaimus maximus,,
pomacanthidae,Apolemichthys_armitageiF457M1091,Apolemichthys_armitagei,Apolemichthys_armitagei,Apolemichthys armitagei,,
pomacanthidae,Apolemichthys_trimaculatusF516M1007,Apolemichthys_trimaculatus,Apolemichthys_trimaculatus,Apolemichthys trimaculatus,,
pomacanthidae,Apolemichthys_xanthurusF526M1004,Apolemichthys_xanthurus,Apolemichthys_xanthurus,Apolemichthys xanthurus,,
pomacanthidae,Centropyge_acanthopsF448M1428,Centropyge_acanthops,Centropyge_acanthops,Centropyge acanthops,,
pomacanthidae,Centropyge_argiF456M1357,Centropyge_argi,Centropyge_argi,Centropyge argi,,
pomacanthidae,Centropyge_aurantiaF461M1105,Centropyge_aurantia,Centropyge_aurantia,Centropyge aurantia,,
